"URL","File Size (KiB)","Content Type","Mime-Type","Host","Is Subdomain","HTTP Status Code","HTTP Error Message","Compression","Cache-Control","Connection","ETag","Expires Date","Vary","URL Contains Double Slash","URL Contains Repetitive Elements","URL Contains Non-ASCII Characters","URL Contains Space Characters","No. Referencing HTML URLs",
"https://www.colby.edu/wp-content/uploads/2022/10/0600084_20200701-300x300.jpg","13.87","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'638f7170-3632'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2022/10/SeniorExhibition-6-600x600.jpg","36.99","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'635ae36a-907d'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2023/07/2c9dfe91d63baaaefba256dc5f89a2a3_20240307-300x300.jpg","11.04","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'65eb2527-2b1f'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2022/10/0091789_20200701-300x300.jpg","13.27","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'638f6f7a-33d6'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2022/10/0396747_20200702-300x300.jpg","30.08","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'638f7088-7582'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2023/10/AM-in-NYC-e1696443118368-600x455.png","533.64","Image","image/png","www.colby.edu","No","200","None","None","public, max-age=604800","--","'651daaee-82489'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2022/10/ad2aa2d47a41457b558136d93f03ff26_20240304.jpg","83.12","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'65e72f8b-144ae'","604800","Accept-Encoding","No","No","No","No","3",
"https://www.colby.edu/wp-content/uploads/2023/01/deng_2-header-dk-860x400.jpg","44.58","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'63b72bca-b5df'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2023/01/20201130_randynelson_058-1600x1067-header-860x400.jpg","37.44","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'63b72bbb-976a'","604800","Accept-Encoding","No","No","No","No","1",
"https://www.colby.edu/wp-content/uploads/2022/10/container-2-1-600x600.jpg","39.4","Image","image/jpeg","www.colby.edu","No","200","None","None","public, max-age=604800","--","'63597128-a23d'","604800","Accept-Encoding","No","No","No","No","1",
